business_code,cust_number,name_customer,buisness_year,doc_id,invoice_currency,document_type,posting_id,total_open_amount,cust_payment_terms,invoice_id,isopen,clear_date_datetime,posting_date_datetime,document_create_date_datetime,document_create_date.1_datetime,due_in_date_datetime,baseline_create_date_datetime
U001,0200353024,DECA corporation,2020,1930817482,USD,RV,1,3726.06,NAM2,1930817482,1,,2020-04-23,1970-01-01 00:00:00.020200423,1970-01-01 00:00:00.020200423,1970-01-01 00:00:00.020200426,1970-01-01 00:00:00.020200416
U001,0200794332,COST in,2019,1930052739,USD,RV,1,5181.51,NAAX,1930052739,0,2019-11-12,2019-10-25,1970-01-01 00:00:00.020191025,1970-01-01 00:00:00.020191025,1970-01-01 00:00:00.020191109,1970-01-01 00:00:00.020191025
U001,0200881076,ALBERT corp,2019,1930209407,USD,RV,1,19082.14,NAA8,1930209407,0,2019-12-17,2019-12-02,1970-01-01 00:00:00.020191202,1970-01-01 00:00:00.020191202,1970-01-01 00:00:00.020191217,1970-01-01 00:00:00.020191202
U001,0200769623,WAL-MAR trust,2019,1930153511,USD,RV,1,12819.5,NAH4,1930153511,0,2019-11-26,2019-11-15,1970-01-01 00:00:00.020191114,1970-01-01 00:00:00.020191115,1970-01-01 00:00:00.020191130,1970-01-01 00:00:00.020191115
U001,0200769623,WAL-MAR systems,2020,1930438462,USD,RV,1,53349.54,NAH4,1930438462,0,2020-02-05,2020-01-24,1970-01-01 00:00:00.020200124,1970-01-01 00:00:00.020200124,1970-01-01 00:00:00.020200208,1970-01-01 00:00:00.020200124
U013,0100053554,SYSTEMS systems,2020,1991837617,USD,RV,1,5683.5,NAVE,1991837617,0,2020-02-11,2020-01-11,1970-01-01 00:00:00.020200107,1970-01-01 00:00:00.020200111,1970-01-01 00:00:00.020200210,1970-01-01 00:00:00.020200111
U001,0200783734,FAREW us,2019,1929773400,USD,RV,1,11845.19,NAA8,1929773400,0,2019-09-04,2019-08-21,1970-01-01 00:00:00.020190822,1970-01-01 00:00:00.020190821,1970-01-01 00:00:00.020190905,1970-01-01 00:00:00.020190821
U001,0200744019,TARG associates,2020,1930676042,USD,RV,1,5893.01,NAA8,1930676042,1,,2020-03-21,1970-01-01 00:00:00.020200320,1970-01-01 00:00:00.020200321,1970-01-01 00:00:00.020200405,1970-01-01 00:00:00.020200321
U001,0100006311,QUALITY C ,2019,1929626925,USD,RV,1,20079.58,NAA8,1929626925,0,2019-07-30,2019-07-17,1970-01-01 00:00:00.020190717,1970-01-01 00:00:00.020190717,1970-01-01 00:00:00.020190801,1970-01-01 00:00:00.020190717
U001,0200769623,WAL-MAR co,2020,1930431304,USD,RV,1,11307.78,NAH4,1930431304,0,2020-02-04,2020-01-24,1970-01-01 00:00:00.020200123,1970-01-01 00:00:00.020200124,1970-01-01 00:00:00.020200208,1970-01-01 00:00:00.020200124
CA02,0140106408,WAL-M corp,2020,2960618790,CAD,RV,1,92832.27,CA10,2960618790,1,,2020-03-06,1970-01-01 00:00:00.020200306,1970-01-01 00:00:00.020200306,1970-01-01 00:00:00.020200316,1970-01-01 00:00:00.020200306
U001,0200769623,WAL-MAR foundation,2019,1928620435,USD,RV,1,36188.11,NAH4,1928620435,0,2019-01-30,2019-01-14,1970-01-01 00:00:00.020190114,1970-01-01 00:00:00.020190114,1970-01-01 00:00:00.020190129,1970-01-01 00:00:00.020190114
U001,0200337148,COAS llc,2020,1930592246,USD,RV,1,11380.83,NAA8,1930592246,1,,2020-03-02,1970-01-01 00:00:00.020200302,1970-01-01 00:00:00.020200302,1970-01-01 00:00:00.020200317,1970-01-01 00:00:00.020200302
U001,0200769623,WAL-MAR foundation,2019,1929194820,USD,RV,1,412.09,NAH4,1929194820,0,2019-05-09,2019-04-23,1970-01-01 00:00:00.020190423,1970-01-01 00:00:00.020190423,1970-01-01 00:00:00.020190508,1970-01-01 00:00:00.020190423
CA02,0140106408,WAL-M associates,2019,2960542344,CAD,RV,1,48413.28,CA10,2960542344,0,2019-05-06,2019-04-16,1970-01-01 00:00:00.020190416,1970-01-01 00:00:00.020190416,1970-01-01 00:00:00.020190426,1970-01-01 00:00:00.020190416
U001,0200750051,ALBER systems,2019,1929170780,USD,RV,1,6023.53,NAA8,1929170780,0,2019-05-03,2019-04-18,1970-01-01 00:00:00.020190418,1970-01-01 00:00:00.020190418,1970-01-01 00:00:00.020190503,1970-01-01 00:00:00.020190418
U001,0200721222,GO trust,2019,1929907681,USD,RV,1,17307.51,NAA8,1929907681,0,2019-10-07,2019-09-22,1970-01-01 00:00:00.020190921,1970-01-01 00:00:00.020190922,1970-01-01 00:00:00.020191007,1970-01-01 00:00:00.020190922
U001,0200769623,WAL-MAR in,2019,1929847863,USD,RV,1,341.14,NAH4,1929847863,0,2019-09-23,2019-09-10,1970-01-01 00:00:00.020190909,1970-01-01 00:00:00.020190910,1970-01-01 00:00:00.020190925,1970-01-01 00:00:00.020190910
U001,0200726979,BJ'S  systems,2019,1929541405,USD,RV,1,365.87,NAA8,1929541405,0,2019-07-01,2019-06-15,1970-01-01 00:00:00.020190625,1970-01-01 00:00:00.020190615,1970-01-01 00:00:00.020190630,1970-01-01 00:00:00.020190615
U001,CCCA02,KRAFT  systems,2019,1929535888,USD,RV,1,32751.88,NAG2,1929535888,0,2019-08-30,2019-07-05,1970-01-01 00:00:00.020190701,1970-01-01 00:00:00.020190705,1970-01-01 00:00:00.020190809,1970-01-01 00:00:00.020190705
U001,0200794332,COST associates,2020,1930731070,USD,RV,1,3863.93,NAAX,1930731070,1,,2020-04-07,1970-01-01 00:00:00.020200401,1970-01-01 00:00:00.020200407,1970-01-01 00:00:00.020200422,1970-01-01 00:00:00.020200407
U001,0200700919,US  corp,2019,1928656691,USD,RV,1,39221.31,NAD1,1928656691,0,2019-02-13,2019-01-23,1970-01-01 00:00:00.020190121,1970-01-01 00:00:00.020190123,1970-01-01 00:00:00.020190212,1970-01-01 00:00:00.020190123
U001,0200794332,COST llc,2020,1930803605,USD,RV,1,74453.01,NAAX,1930803605,1,,2020-04-23,1970-01-01 00:00:00.020200420,1970-01-01 00:00:00.020200423,1970-01-01 00:00:00.020200508,1970-01-01 00:00:00.020200423
U001,0200769623,WAL-MAR corp,2019,1929497308,USD,RV,1,46961.92,NAH4,1929497308,0,2019-06-27,2019-06-17,1970-01-01 00:00:00.020190615,1970-01-01 00:00:00.020190617,1970-01-01 00:00:00.020190702,1970-01-01 00:00:00.020190617
U001,0200149567,RESER llc,2019,1929433546,USD,RV,1,51641.33,NABG,1929433546,0,2019-07-19,2019-06-04,1970-01-01 00:00:00.020190604,1970-01-01 00:00:00.020190604,1970-01-01 00:00:00.020190719,1970-01-01 00:00:00.020190604
U001,0200769623,WAL-MAR corp,2019,1930130044,USD,RV,1,52187.72,NAH4,1930130044,0,2019-11-19,2019-11-08,1970-01-01 00:00:00.020191108,1970-01-01 00:00:00.020191108,1970-01-01 00:00:00.020191123,1970-01-01 00:00:00.020191108
U001,0200769623,WAL-MAR associates,2020,1930353067,USD,RV,1,4953.83,NAH4,1930353067,0,2020-01-21,2020-01-04,1970-01-01 00:00:00.020200104,1970-01-01 00:00:00.020200104,1970-01-01 00:00:00.020200119,1970-01-01 00:00:00.020200104
U001,0200337148,COAS corporation,2020,1930415312,USD,RV,1,54714.07,NAA8,1930415312,0,2020-02-06,2020-01-22,1970-01-01 00:00:00.020200120,1970-01-01 00:00:00.020200122,1970-01-01 00:00:00.020200206,1970-01-01 00:00:00.020200122
U001,0200769623,WAL-MAR corp,2020,1930555074,USD,RV,1,3228.13,NAH4,1930555074,0,2020-03-04,2020-02-22,1970-01-01 00:00:00.020200222,1970-01-01 00:00:00.020200222,1970-01-01 00:00:00.020200308,1970-01-01 00:00:00.020200222
CA02,CCU001,KRAFT  trust,2019,2960541801,CAD,RV,1,31715.46,NAG2,2960541801,0,2019-05-31,2019-04-12,1970-01-01 00:00:00.020190412,1970-01-01 00:00:00.020190412,1970-01-01 00:00:00.020190519,1970-01-01 00:00:00.020190414
U001,0200803720,DEC corp,2020,1930698352,USD,RV,1,138.6,NAM4,1930698352,1,,2020-03-25,1970-01-01 00:00:00.020200325,1970-01-01 00:00:00.020200325,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200316
U001,0200769623,WAL-MAR trust,2019,1929141059,USD,RV,1,34565.51,NAH4,1929141059,0,2019-04-26,2019-04-16,1970-01-01 00:00:00.020190414,1970-01-01 00:00:00.020190416,1970-01-01 00:00:00.020190501,1970-01-01 00:00:00.020190416
U001,0200759082,INGL in,2019,1929722196,USD,RV,1,65353.0,NAA8,1929722196,0,2019-08-23,2019-08-08,1970-01-01 00:00:00.020190808,1970-01-01 00:00:00.020190808,1970-01-01 00:00:00.020190823,1970-01-01 00:00:00.020190808
U001,0200769623,WAL-MAR corporation,2020,1930532562,USD,RV,1,49723.89,NAH4,1930532562,0,2020-02-27,2020-02-17,1970-01-01 00:00:00.020200216,1970-01-01 00:00:00.020200217,1970-01-01 00:00:00.020200303,1970-01-01 00:00:00.020200217
U001,0200769623,WAL-MAR us,2019,1928638946,USD,RV,1,353.96,NAH4,1928638946,0,2019-01-29,2019-01-18,1970-01-01 00:00:00.020190117,1970-01-01 00:00:00.020190118,1970-01-01 00:00:00.020190202,1970-01-01 00:00:00.020190118
U001,0200230690,DECA systems,2019,1929274085,USD,RV,1,3435.96,NAM2,1929274085,0,2019-05-10,2019-05-07,1970-01-01 00:00:00.020190507,1970-01-01 00:00:00.020190507,1970-01-01 00:00:00.020190511,1970-01-01 00:00:00.020190501
U001,0200794332,COST co,2020,1930647189,USD,RV,1,32715.47,NAAX,1930647189,1,,2020-03-13,1970-01-01 00:00:00.020200313,1970-01-01 00:00:00.020200313,1970-01-01 00:00:00.020200328,1970-01-01 00:00:00.020200313
U001,0200020431,DEC us,2020,1930861637,USD,RV,1,174.72,NAM4,1930861637,1,,2020-05-06,1970-01-01 00:00:00.020200506,1970-01-01 00:00:00.020200506,1970-01-01 00:00:00.020200524,1970-01-01 00:00:00.020200501
U001,0200769623,WAL-MAR ,2019,1929656804,USD,RV,1,21418.85,NAH4,1929656804,0,2019-08-05,2019-07-24,1970-01-01 00:00:00.020190724,1970-01-01 00:00:00.020190724,1970-01-01 00:00:00.020190808,1970-01-01 00:00:00.020190724
U001,0200701314,MBM  foundation,2020,1930391457,USD,RV,1,12606.72,NAA8,1930391457,0,2020-01-31,2020-01-15,1970-01-01 00:00:00.020200113,1970-01-01 00:00:00.020200115,1970-01-01 00:00:00.020200130,1970-01-01 00:00:00.020200115
U001,0200742791,QUI us,2020,1930520098,USD,RV,1,25580.96,NAA8,1930520098,0,2020-03-04,2020-02-18,1970-01-01 00:00:00.020200213,1970-01-01 00:00:00.020200218,1970-01-01 00:00:00.020200304,1970-01-01 00:00:00.020200218
U001,0200743129,BROOKS systems,2019,1929797274,USD,RV,1,20360.19,NAA8,1929797274,0,2019-09-10,2019-08-28,1970-01-01 00:00:00.020190827,1970-01-01 00:00:00.020190828,1970-01-01 00:00:00.020190912,1970-01-01 00:00:00.020190828
U001,0200769623,WAL-MAR associates,2020,1930635649,USD,RV,1,767.78,NAH4,1930635649,1,,2020-03-12,1970-01-01 00:00:00.020200311,1970-01-01 00:00:00.020200312,1970-01-01 00:00:00.020200327,1970-01-01 00:00:00.020200312
U001,0200780825,SYSCO FO trust,2019,1929620499,USD,RV,1,322.48,NAA8,1929620499,0,2019-07-30,2019-07-16,1970-01-01 00:00:00.020190715,1970-01-01 00:00:00.020190716,1970-01-01 00:00:00.020190731,1970-01-01 00:00:00.020190716
U001,0200762301,C&S WH llc,2020,1930413750,USD,RV,1,91102.25,NAC6,1930413750,0,2020-02-05,2020-01-21,1970-01-01 00:00:00.020200120,1970-01-01 00:00:00.020200121,1970-01-01 00:00:00.020200205,1970-01-01 00:00:00.020200121
U001,0200769369,DI llc,2019,1928964395,USD,RV,1,73077.72,NAA8,1928964395,0,2019-04-01,2019-03-15,1970-01-01 00:00:00.020190315,1970-01-01 00:00:00.020190315,1970-01-01 00:00:00.020190330,1970-01-01 00:00:00.020190315
CA02,0100030194,AMAZO ,2019,2960558116,CAD,RV,1,2827.8,CA10,2960558116,0,2019-07-15,2019-06-30,1970-01-01 00:00:00.020190630,1970-01-01 00:00:00.020190630,1970-01-01 00:00:00.020190711,1970-01-01 00:00:00.020190701
U001,200714710,SYSCO  us,2019,1929462621,USD,RV,1,3285.62,NAA8,1929462621,0,2019-06-24,2019-06-10,1970-01-01 00:00:00.020190609,1970-01-01 00:00:00.020190610,1970-01-01 00:00:00.020190625,1970-01-01 00:00:00.020190610
CA02,0140106181,THE  corp,2019,2960562705,CAD,RV,1,6912.0,CA10,2960562705,0,2019-09-18,2019-07-08,1970-01-01 00:00:00.020190708,1970-01-01 00:00:00.020190708,1970-01-01 00:00:00.020190719,1970-01-01 00:00:00.020190709
U001,0100028450,DASA I ,2019,1929251852,USD,RV,1,24351.25,NA10,1929251852,0,2019-05-23,2019-05-06,1970-01-01 00:00:00.020190506,1970-01-01 00:00:00.020190506,1970-01-01 00:00:00.020190516,1970-01-01 00:00:00.020190506
U001,200561861,CO in,2019,1929446470,USD,RV,1,22491.08,NAA8,1929446470,0,2019-06-21,2019-06-06,1970-01-01 00:00:00.020190606,1970-01-01 00:00:00.020190606,1970-01-01 00:00:00.020190621,1970-01-01 00:00:00.020190606
U001,0200622385,US  co,2019,1929213250,USD,RV,1,981.31,NAA8,1929213250,0,2019-05-10,2019-04-26,1970-01-01 00:00:00.020190426,1970-01-01 00:00:00.020190426,1970-01-01 00:00:00.020190511,1970-01-01 00:00:00.020190426
U001,0200769623,WAL-MAR foundation,2020,1930395090,USD,RV,1,71008.69,NAH4,1930395090,0,2020-01-24,2020-01-14,1970-01-01 00:00:00.020200113,1970-01-01 00:00:00.020200114,1970-01-01 00:00:00.020200129,1970-01-01 00:00:00.020200114
U001,0200744019,TARG in,2019,1928711753,USD,RV,1,8445.33,NAA8,1928711753,0,2019-02-26,2019-02-01,1970-01-01 00:00:00.020190130,1970-01-01 00:00:00.020190201,1970-01-01 00:00:00.020190216,1970-01-01 00:00:00.020190201
U001,0200752302,KROGER foundation,2019,1929760273,USD,RV,1,79935.8,NAA8,1929760273,0,2019-09-03,2019-08-19,1970-01-01 00:00:00.020190819,1970-01-01 00:00:00.020190819,1970-01-01 00:00:00.020190903,1970-01-01 00:00:00.020190819
CA02,140105785,SHOPPE foundation,2020,2960624627,CAD,RV,1,2829.6,CA10,2960624627,1,,2020-03-27,1970-01-01 00:00:00.020200327,1970-01-01 00:00:00.020200327,1970-01-01 00:00:00.020200410,1970-01-01 00:00:00.020200331
U001,0200769623,WAL-MAR in,2019,1928657817,USD,RV,1,13636.19,NAH4,1928657817,0,2019-02-11,2019-01-24,1970-01-01 00:00:00.020190121,1970-01-01 00:00:00.020190124,1970-01-01 00:00:00.020190208,1970-01-01 00:00:00.020190124
U001,0200769623,WAL-MAR llc,2019,1929027308,USD,RV,1,71047.42,NAH4,1929027308,0,2019-04-08,2019-03-27,1970-01-01 00:00:00.020190325,1970-01-01 00:00:00.020190327,1970-01-01 00:00:00.020190411,1970-01-01 00:00:00.020190327
U001,200769623,WAL-MAR corporation,2019,1929485994,USD,RV,1,3748.84,NAH4,1929485994,0,2019-06-25,2019-06-13,1970-01-01 00:00:00.020190613,1970-01-01 00:00:00.020190613,1970-01-01 00:00:00.020190628,1970-01-01 00:00:00.020190613
U001,0200772670,ASSOCIAT co,2019,1928831527,USD,RV,1,74898.29,NAU5,1928831527,0,2019-03-06,2019-02-20,1970-01-01 00:00:00.020190221,1970-01-01 00:00:00.020190220,1970-01-01 00:00:00.020190307,1970-01-01 00:00:00.020190220
U001,0200769623,WAL-MAR foundation,2019,1930133339,USD,RV,1,6300.98,NAH4,1930133339,0,2019-11-20,2019-11-10,1970-01-01 00:00:00.020191109,1970-01-01 00:00:00.020191110,1970-01-01 00:00:00.020191125,1970-01-01 00:00:00.020191110
U001,0200769623,WAL-MAR ,2020,1930577078,USD,RV,1,14514.68,NAH4,1930577078,1,,2020-02-28,1970-01-01 00:00:00.020200227,1970-01-01 00:00:00.020200228,1970-01-01 00:00:00.020200314,1970-01-01 00:00:00.020200228
U001,0200769623,WAL-MAR foundation,2020,1930774741,USD,RV,1,55400.31,NAH4,1930774741,1,,2020-04-10,1970-01-01 00:00:00.020200410,1970-01-01 00:00:00.020200410,1970-01-01 00:00:00.020200425,1970-01-01 00:00:00.020200410
U001,200705742,DOT co,2019,1929249507,USD,RV,1,26520.18,NAA8,1929249507,0,2019-05-17,2019-05-02,1970-01-01 00:00:00.020190502,1970-01-01 00:00:00.020190502,1970-01-01 00:00:00.020190517,1970-01-01 00:00:00.020190502
U001,0200772670,ASSOCIAT corporation,2020,1930765053,USD,RV,1,174766.36,NAU5,1930765053,1,,2020-04-09,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200409,1970-01-01 00:00:00.020200424,1970-01-01 00:00:00.020200409
U001,0200762301,C&S WH ,2019,1928964364,USD,RV,1,75138.42,NAC6,1928964364,0,2019-04-01,2019-03-15,1970-01-01 00:00:00.020190314,1970-01-01 00:00:00.020190315,1970-01-01 00:00:00.020190330,1970-01-01 00:00:00.020190315
U001,0200761734,H E BUT in,2019,1929656725,USD,RV,1,78043.58,NAA8,1929656725,0,2019-08-07,2019-07-24,1970-01-01 00:00:00.020190724,1970-01-01 00:00:00.020190724,1970-01-01 00:00:00.020190808,1970-01-01 00:00:00.020190724
CA02,0140104409,LOB us,2019,2960552326,CAD,RV,1,51234.16,CA10,2960552326,0,2019-06-21,2019-06-02,1970-01-01 00:00:00.020190603,1970-01-01 00:00:00.020190602,1970-01-01 00:00:00.020190619,1970-01-01 00:00:00.020190609
U001,0200900909,SYSCO systems,2020,1930645969,USD,RV,1,31512.75,NA32,1930645969,1,,2020-03-13,1970-01-01 00:00:00.020200312,1970-01-01 00:00:00.020200313,1970-01-01 00:00:00.020200414,1970-01-01 00:00:00.020200313
U001,0200769623,WAL-MAR systems,2020,1930718081,USD,RV,1,19701.55,NAH4,1930718081,1,,2020-03-30,1970-01-01 00:00:00.020200329,1970-01-01 00:00:00.020200330,1970-01-01 00:00:00.020200414,1970-01-01 00:00:00.020200330
U001,0200455322,PEA us,2019,1929867941,USD,RV,1,42362.3,NAD5,1929867941,0,2019-11-07,2019-09-12,1970-01-01 00:00:00.020190912,1970-01-01 00:00:00.020190912,1970-01-01 00:00:00.020191012,1970-01-01 00:00:00.020190912
U001,0200290370,BARGAIN  corporation,2019,1929854327,USD,RV,1,6347.86,NAA8,1929854327,0,2019-09-27,2019-09-10,1970-01-01 00:00:00.020190909,1970-01-01 00:00:00.020190910,1970-01-01 00:00:00.020190925,1970-01-01 00:00:00.020190910
U001,0200769623,WAL-MAR systems,2019,1929559339,USD,RV,1,48129.8,NAH4,1929559339,0,2019-07-10,2019-06-30,1970-01-01 00:00:00.020190629,1970-01-01 00:00:00.020190630,1970-01-01 00:00:00.020190715,1970-01-01 00:00:00.020190630
U001,0200726979,BJ'S  trust,2020,1930788667,USD,RV,1,132.72,NAA8,1930788667,1,,2020-04-16,1970-01-01 00:00:00.020200415,1970-01-01 00:00:00.020200416,1970-01-01 00:00:00.020200501,1970-01-01 00:00:00.020200416
U001,0200769623,WAL-MAR corp,2019,1929940577,USD,RV,1,5957.04,NAH4,1929940577,0,2019-10-10,2019-09-29,1970-01-01 00:00:00.020190929,1970-01-01 00:00:00.020190929,1970-01-01 00:00:00.020191014,1970-01-01 00:00:00.020190929
U001,0200769623,WAL-MAR llc,2019,1929767246,USD,RV,1,423.47,NAH4,1929767246,0,2019-09-03,2019-08-21,1970-01-01 00:00:00.020190820,1970-01-01 00:00:00.020190821,1970-01-01 00:00:00.020190905,1970-01-01 00:00:00.020190821
U001,0100028210,WEST  trust,2019,1928896405,USD,RV,1,32415.05,NAA8,1928896405,0,2019-03-23,2019-03-04,1970-01-01 00:00:00.020190304,1970-01-01 00:00:00.020190304,1970-01-01 00:00:00.020190319,1970-01-01 00:00:00.020190304
U001,0200769623,WAL-MAR llc,2019,1929773090,USD,RV,1,1328.25,NAH4,1929773090,0,2019-09-03,2019-08-22,1970-01-01 00:00:00.020190822,1970-01-01 00:00:00.020190822,1970-01-01 00:00:00.020190906,1970-01-01 00:00:00.020190822
U001,0200743129,BROOKS in,2019,1929670921,USD,RV,1,116300.54,NAA8,1929670921,0,2019-08-14,2019-07-28,1970-01-01 00:00:00.020190728,1970-01-01 00:00:00.020190728,1970-01-01 00:00:00.020190812,1970-01-01 00:00:00.020190728
U001,0200769623,WAL-MAR llc,2020,1930709919,USD,RV,1,1121.15,NAH4,1930709919,1,,2020-03-29,1970-01-01 00:00:00.020200328,1970-01-01 00:00:00.020200329,1970-01-01 00:00:00.020200413,1970-01-01 00:00:00.020200329
U001,0200769623,WAL-MAR llc,2020,1930752568,USD,RV,1,11394.84,NAH4,1930752568,1,,2020-04-06,1970-01-01 00:00:00.020200406,1970-01-01 00:00:00.020200406,1970-01-01 00:00:00.020200421,1970-01-01 00:00:00.020200406
U001,0200783609,PROFIC corporation,2020,1930395778,USD,RV,1,20306.46,NAA8,1930395778,0,2020-01-29,2020-01-14,1970-01-01 00:00:00.020200114,1970-01-01 00:00:00.020200114,1970-01-01 00:00:00.020200129,1970-01-01 00:00:00.020200114
U001,0100033266,INTERN trust,2019,1930174350,USD,RV,1,17243.1,NAA8,1930174350,0,2019-12-24,2019-11-25,1970-01-01 00:00:00.020191120,1970-01-01 00:00:00.020191125,1970-01-01 00:00:00.020191210,1970-01-01 00:00:00.020191125
U001,0200744019,TARG associates,2020,1930512246,USD,RV,1,22993.63,NAA8,1930512246,0,2020-02-26,2020-02-11,1970-01-01 00:00:00.020200211,1970-01-01 00:00:00.020200211,1970-01-01 00:00:00.020200226,1970-01-01 00:00:00.020200211
U001,0200705089,JETR foundation,2019,1929651119,USD,RV,1,18939.75,NAA8,1929651119,0,2019-08-07,2019-07-23,1970-01-01 00:00:00.020190723,1970-01-01 00:00:00.020190723,1970-01-01 00:00:00.020190807,1970-01-01 00:00:00.020190723
U001,0100032262,INTERSTA co,2019,1929487380,USD,RV,1,13872.48,NA10,1929487380,0,2019-06-29,2019-06-18,1970-01-01 00:00:00.020190613,1970-01-01 00:00:00.020190618,1970-01-01 00:00:00.020190628,1970-01-01 00:00:00.020190618
U001,0200762301,C&S WH systems,2020,1930461787,USD,RV,1,937.68,NAC6,1930461787,0,2020-02-19,2020-02-01,1970-01-01 00:00:00.020200131,1970-01-01 00:00:00.020200201,1970-01-01 00:00:00.020200216,1970-01-01 00:00:00.020200201
CA02,0140105847,GORDON F co,2020,2960627274,CAD,RV,1,3685.2,CA10,2960627274,1,,2020-04-08,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200418,1970-01-01 00:00:00.020200408
U001,0200769623,WAL-MAR co,2019,1929221972,USD,RV,1,1170.27,NAH4,1929221972,0,2019-05-09,2019-04-29,1970-01-01 00:00:00.020190427,1970-01-01 00:00:00.020190429,1970-01-01 00:00:00.020190514,1970-01-01 00:00:00.020190429
U001,200769623,WAL-MAR co,2019,1928913601,USD,RV,1,23976.32,NAH4,1928913601,0,2019-03-18,2019-03-07,1970-01-01 00:00:00.020190306,1970-01-01 00:00:00.020190307,1970-01-01 00:00:00.020190322,1970-01-01 00:00:00.020190307
U001,0200756072,REINHA trust,2019,1929061083,USD,RV,1,18828.87,NAA8,1929061083,0,2019-04-17,2019-04-02,1970-01-01 00:00:00.020190401,1970-01-01 00:00:00.020190402,1970-01-01 00:00:00.020190417,1970-01-01 00:00:00.020190402
