business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,due_in_date_parsed,clear_date_parsed,posting_date_parsed,amount,invoice_age_days,posting_month,posting_quarter,due_month,due_day_of_week,customer_late_rate,customer_avg_delay,customer_invoice_count,business_code_encoded,payment_terms_encoded,late_payment_probability,predicted_late,overdue_days,ml_risk_tier
U001,0200783734,FAREW us,2019-09-04 00:00:00,2019.0,1929773400.0,2019-08-21,20190822,20190821,20190905.0,USD,RV,1.0,,11845.19,20190821.0,NAA8,1929773400.0,0,2019-09-05,2019-09-04,2019-08-21,11845.19,15,8,3,9,3,0.0,0.0,8.0,0,2,0.2357490935579518,0,0,Low Risk
U001,0200744019,TARG associates,,2020.0,1930676042.0,2020-03-21,20200320,20200321,20200405.0,USD,RV,1.0,,5893.01,20200321.0,NAA8,1930676042.0,1,2020-04-05,,2020-03-21,5893.01,15,3,1,4,6,0.7367411018545494,4.087887182035333,311.0,0,2,0.8594787977193938,1,96,High Risk
U001,0100006311,QUALITY C ,2019-07-30 00:00:00,2019.0,1929626925.0,2019-07-17,20190717,20190717,20190801.0,USD,RV,1.0,,20079.58,20190717.0,NAA8,1929626925.0,0,2019-08-01,2019-07-30,2019-07-17,20079.58,15,7,3,8,3,0.0,0.0,4.0,0,2,0.2339402900242389,0,0,Low Risk
U001,0200769623,WAL-MAR co,2020-02-04 00:00:00,2020.0,1930431304.0,2020-01-24,20200123,20200124,20200208.0,USD,RV,1.0,,11307.78,20200124.0,NAH4,1930431304.0,0,2020-02-08,2020-02-04,2020-01-24,11307.78,15,1,1,2,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3727908992260094,0,0,Low Risk
CA02,0140106408,WAL-M corp,,2020.0,2960618790.0,2020-03-06,20200306,20200306,20200316.0,CAD,RV,1.0,,92832.27,20200306.0,CA10,2960618790.0,1,2020-03-16,,2020-03-06,92832.27,10,3,1,3,0,0.996996996996997,10.732870017634704,166.0,2,6,0.8888071567319543,1,116,High Risk
U001,0200769623,WAL-MAR foundation,2019-01-30 00:00:00,2019.0,1928620435.0,2019-01-14,20190114,20190114,20190129.0,USD,RV,1.0,,36188.11,20190114.0,NAH4,1928620435.0,0,2019-01-29,2019-01-30,2019-01-14,36188.11,15,1,1,1,1,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2254256845912385,0,0,Low Risk
U001,0200337148,COAS llc,,2020.0,1930592246.0,2020-03-02,20200302,20200302,20200317.0,USD,RV,1.0,,11380.83,20200302.0,NAA8,1930592246.0,1,2020-03-17,,2020-03-02,11380.83,15,3,1,3,1,0.0644091887110282,0.2310576724671932,35.5,0,2,0.2122661723061237,0,115,Low Risk
U001,0200769623,WAL-MAR foundation,2019-05-09 00:00:00,2019.0,1929194820.0,2019-04-23,20190423,20190423,20190508.0,USD,RV,1.0,,412.09,20190423.0,NAH4,1929194820.0,0,2019-05-08,2019-05-09,2019-04-23,412.09,15,4,2,5,2,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2611322893133546,0,0,Low Risk
CA02,0140106408,WAL-M associates,2019-05-06 00:00:00,2019.0,2960542344.0,2019-04-16,20190416,20190416,20190426.0,CAD,RV,1.0,,48413.28,20190416.0,CA10,2960542344.0,0,2019-04-26,2019-05-06,2019-04-16,48413.28,10,4,2,4,4,0.996996996996997,10.732870017634704,166.0,2,6,0.9418597750736578,1,0,High Risk
U001,0200750051,ALBER systems,2019-05-03 00:00:00,2019.0,1929170780.0,2019-04-18,20190418,20190418,20190503.0,USD,RV,1.0,,6023.53,20190418.0,NAA8,1929170780.0,0,2019-05-03,2019-05-03,2019-04-18,6023.53,15,4,2,5,4,0.323344518830675,0.5663172011281193,34.5,0,2,0.5056918990274984,1,0,Medium Risk
U001,0200721222,GO trust,2019-10-07 00:00:00,2019.0,1929907681.0,2019-09-22,20190921,20190922,20191007.0,USD,RV,1.0,,17307.51,20190922.0,NAA8,1929907681.0,0,2019-10-07,2019-10-07,2019-09-22,17307.51,15,9,3,10,0,0.3146316550858419,1.242488301141694,20.5,0,2,0.3400265443894694,0,0,Low Risk
U001,0200769623,WAL-MAR in,2019-09-23 00:00:00,2019.0,1929847863.0,2019-09-10,20190909,20190910,20190925.0,USD,RV,1.0,,341.14,20190910.0,NAH4,1929847863.0,0,2019-09-25,2019-09-23,2019-09-10,341.14,15,9,3,9,2,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.26271782046895,0,0,Low Risk
U001,0200726979,BJ'S  systems,2019-07-01 00:00:00,2019.0,1929541405.0,2019-06-15,20190625,20190615,20190630.0,USD,RV,1.0,,365.87,20190615.0,NAA8,1929541405.0,0,2019-06-30,2019-07-01,2019-06-15,365.87,15,6,2,6,6,0.5191912956595145,1.1648432156942987,580.5,0,2,0.7252729176246253,1,0,High Risk
U001,CCCA02,KRAFT  systems,2019-08-30 00:00:00,2019.0,1929535888.0,2019-07-05,20190701,20190705,20190809.0,USD,RV,1.0,,32751.88,20190705.0,NAG2,1929535888.0,0,2019-08-09,2019-08-30,2019-07-05,32751.88,35,7,3,8,4,0.8177834332448225,11.026285659147153,176.5,0,8,0.8655528490016792,1,0,High Risk
U001,0200794332,COST associates,,2020.0,1930731070.0,2020-04-07,20200401,20200407,20200422.0,USD,RV,1.0,,3863.93,20200407.0,NAAX,1930731070.0,1,2020-04-22,,2020-04-07,3863.93,15,4,2,4,2,0.2835017377005195,1.1619302084157763,342.5,0,1,0.3920167260217445,0,79,Low Risk
U001,0200700919,US  corp,2019-02-13 00:00:00,2019.0,1928656691.0,2019-01-23,20190121,20190123,20190212.0,USD,RV,1.0,,39221.31,20190123.0,NAD1,1928656691.0,0,2019-02-12,2019-02-13,2019-01-23,39221.31,20,1,1,2,1,0.7895851387496645,2.098119219784721,37.0,0,9,0.7092959424160542,1,0,High Risk
U001,0200794332,COST llc,,2020.0,1930803605.0,2020-04-23,20200420,20200423,20200508.0,USD,RV,1.0,,74453.01,20200423.0,NAAX,1930803605.0,1,2020-05-08,,2020-04-23,74453.01,15,4,2,5,4,0.2835017377005195,1.1619302084157763,342.5,0,1,0.4697651752431026,0,63,Medium Risk
U001,0200769623,WAL-MAR corp,2019-06-27 00:00:00,2019.0,1929497308.0,2019-06-17,20190615,20190617,20190702.0,USD,RV,1.0,,46961.92,20190617.0,NAH4,1929497308.0,0,2019-07-02,2019-06-27,2019-06-17,46961.92,15,6,2,7,1,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.227070823100086,0,0,Low Risk
U001,0200149567,RESER llc,2019-07-19 00:00:00,2019.0,1929433546.0,2019-06-04,20190604,20190604,20190719.0,USD,RV,1.0,,51641.33,20190604.0,NABG,1929433546.0,0,2019-07-19,2019-07-19,2019-06-04,51641.33,45,6,2,7,4,0.2655233655233655,0.7978549228549229,6.0,0,24,0.3628628651301854,0,0,Low Risk
U001,0200769623,WAL-MAR corp,2019-11-19 00:00:00,2019.0,1930130044.0,2019-11-08,20191108,20191108,20191123.0,USD,RV,1.0,,52187.72,20191108.0,NAH4,1930130044.0,0,2019-11-23,2019-11-19,2019-11-08,52187.72,15,11,4,11,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3679079088986501,0,0,Low Risk
U001,0200769623,WAL-MAR associates,2020-01-21 00:00:00,2020.0,1930353067.0,2020-01-04,20200104,20200104,20200119.0,USD,RV,1.0,,4953.83,20200104.0,NAH4,1930353067.0,0,2020-01-19,2020-01-21,2020-01-04,4953.83,15,1,1,1,6,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.4144089849265706,0,0,Low Risk
U001,0200337148,COAS corporation,2020-02-06 00:00:00,2020.0,1930415312.0,2020-01-22,20200120,20200122,20200206.0,USD,RV,1.0,,54714.07,20200122.0,NAA8,1930415312.0,0,2020-02-06,2020-02-06,2020-01-22,54714.07,15,1,1,2,3,0.0644091887110282,0.2310576724671932,35.5,0,2,0.2703457446203711,0,0,Low Risk
U001,0200769623,WAL-MAR corp,2020-03-04 00:00:00,2020.0,1930555074.0,2020-02-22,20200222,20200222,20200308.0,USD,RV,1.0,,3228.13,20200222.0,NAH4,1930555074.0,0,2020-03-08,2020-03-04,2020-02-22,3228.13,15,2,1,3,6,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.4169562737330387,0,0,Low Risk
CA02,CCU001,KRAFT  trust,2019-05-31 00:00:00,2019.0,2960541801.0,2019-04-12,20190412,20190412,20190519.0,CAD,RV,1.0,,31715.46,20190414.0,NAG2,2960541801.0,0,2019-05-19,2019-05-31,2019-04-12,31715.46,37,4,2,5,6,0.6340556466888173,7.546091571152407,17.5,2,8,0.8495995272738195,1,0,High Risk
U001,0200803720,DEC corp,,2020.0,1930698352.0,2020-03-25,20200325,20200325,20200408.0,USD,RV,1.0,,138.6,20200316.0,NAM4,1930698352.0,1,2020-04-08,,2020-03-25,138.6,14,3,1,4,2,0.1947485416922703,0.4603274364638316,140.0,0,18,0.2860226146538417,0,93,Low Risk
U001,0200769623,WAL-MAR trust,2019-04-26 00:00:00,2019.0,1929141059.0,2019-04-16,20190414,20190416,20190501.0,USD,RV,1.0,,34565.51,20190416.0,NAH4,1929141059.0,0,2019-05-01,2019-04-26,2019-04-16,34565.51,15,4,2,5,2,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2578985809995122,0,0,Low Risk
U001,0200759082,INGL in,2019-08-23 00:00:00,2019.0,1929722196.0,2019-08-08,20190808,20190808,20190823.0,USD,RV,1.0,,65353.0,20190808.0,NAA8,1929722196.0,0,2019-08-23,2019-08-23,2019-08-08,65353.0,15,8,3,8,4,0.7766019953708068,1.4519801326087505,12.0,0,2,0.8090675594950556,1,0,High Risk
U001,0200769623,WAL-MAR corporation,2020-02-27 00:00:00,2020.0,1930532562.0,2020-02-17,20200216,20200217,20200303.0,USD,RV,1.0,,49723.89,20200217.0,NAH4,1930532562.0,0,2020-03-03,2020-02-27,2020-02-17,49723.89,15,2,1,3,1,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2259443335677912,0,0,Low Risk
U001,0200769623,WAL-MAR us,2019-01-29 00:00:00,2019.0,1928638946.0,2019-01-18,20190117,20190118,20190202.0,USD,RV,1.0,,353.96,20190118.0,NAH4,1928638946.0,0,2019-02-02,2019-01-29,2019-01-18,353.96,15,1,1,2,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3740536924664362,0,0,Low Risk
U001,0200230690,DECA systems,2019-05-10 00:00:00,2019.0,1929274085.0,2019-05-07,20190507,20190507,20190511.0,USD,RV,1.0,,3435.96,20190501.0,NAM2,1929274085.0,0,2019-05-11,2019-05-10,2019-05-07,3435.96,4,5,2,5,5,0.2146059232408963,0.5546127604981806,113.0,0,19,0.4253805992291273,0,0,Low Risk
U001,0200794332,COST co,,2020.0,1930647189.0,2020-03-13,20200313,20200313,20200328.0,USD,RV,1.0,,32715.47,20200313.0,NAAX,1930647189.0,1,2020-03-28,,2020-03-13,32715.47,15,3,1,3,5,0.2835017377005195,1.1619302084157763,342.5,0,1,0.5212058993860673,1,104,Medium Risk
U001,0200020431,DEC us,,2020.0,1930861637.0,2020-05-06,20200506,20200506,20200524.0,USD,RV,1.0,,174.72,20200501.0,NAM4,1930861637.0,1,2020-05-24,,2020-05-06,174.72,18,5,2,5,6,0.1076555367384952,0.2285502126649405,91.5,0,18,0.3722904589390958,0,47,Low Risk
U001,0200769623,WAL-MAR ,2019-08-05 00:00:00,2019.0,1929656804.0,2019-07-24,20190724,20190724,20190808.0,USD,RV,1.0,,21418.85,20190724.0,NAH4,1929656804.0,0,2019-08-08,2019-08-05,2019-07-24,21418.85,15,7,3,8,3,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2937775148789732,0,0,Low Risk
U001,0200701314,MBM  foundation,2020-01-31 00:00:00,2020.0,1930391457.0,2020-01-15,20200113,20200115,20200130.0,USD,RV,1.0,,12606.72,20200115.0,NAA8,1930391457.0,0,2020-01-30,2020-01-31,2020-01-15,12606.72,15,1,1,1,3,0.9411764705882352,3.14740863711452,8.0,0,2,0.8679653212539098,1,0,High Risk
U001,0200742791,QUI us,2020-03-04 00:00:00,2020.0,1930520098.0,2020-02-18,20200213,20200218,20200304.0,USD,RV,1.0,,25580.96,20200218.0,NAA8,1930520098.0,0,2020-03-04,2020-03-04,2020-02-18,25580.96,15,2,1,3,2,0.1943110219223989,1.057973065118783,19.5,0,2,0.3310914320819312,0,0,Low Risk
U001,0200743129,BROOKS systems,2019-09-10 00:00:00,2019.0,1929797274.0,2019-08-28,20190827,20190828,20190912.0,USD,RV,1.0,,20360.19,20190828.0,NAA8,1929797274.0,0,2019-09-12,2019-09-10,2019-08-28,20360.19,15,8,3,9,3,0.3805318316256555,1.5237577349894835,18.0,0,2,0.5176726251067636,1,0,Medium Risk
U001,0200769623,WAL-MAR associates,,2020.0,1930635649.0,2020-03-12,20200311,20200312,20200327.0,USD,RV,1.0,,767.78,20200312.0,NAH4,1930635649.0,1,2020-03-27,,2020-03-12,767.78,15,3,1,3,4,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3362084267340288,0,105,Low Risk
U001,0200780825,SYSCO FO trust,2019-07-30 00:00:00,2019.0,1929620499.0,2019-07-16,20190715,20190716,20190731.0,USD,RV,1.0,,322.48,20190716.0,NAA8,1929620499.0,0,2019-07-31,2019-07-30,2019-07-16,322.48,15,7,3,7,2,0.7925714439341882,2.228550634481014,43.5,0,2,0.7692857743616661,1,0,High Risk
U001,0200762301,C&S WH llc,2020-02-05 00:00:00,2020.0,1930413750.0,2020-01-21,20200120,20200121,20200205.0,USD,RV,1.0,,91102.25,20200121.0,NAC6,1930413750.0,0,2020-02-05,2020-02-05,2020-01-21,91102.25,15,1,1,2,2,0.3275645865953983,0.958837070833118,467.0,0,10,0.3840351971376587,0,0,Low Risk
U001,0200769369,DI llc,2019-04-01 00:00:00,2019.0,1928964395.0,2019-03-15,20190315,20190315,20190330.0,USD,RV,1.0,,73077.72,20190315.0,NAA8,1928964395.0,0,2019-03-30,2019-04-01,2019-03-15,73077.72,15,3,1,3,5,0.3399279748707807,0.6164839831644713,21.0,0,2,0.5572767728206616,1,0,Medium Risk
CA02,0100030194,AMAZO ,2019-07-15 00:00:00,2019.0,2960558116.0,2019-06-30,20190630,20190630,20190711.0,CAD,RV,1.0,,2827.8,20190701.0,CA10,2960558116.0,0,2019-07-11,2019-07-15,2019-06-30,2827.8,11,6,2,7,3,0.8556289791810874,14.933490929848858,13.0,2,6,0.9184542993069512,1,0,High Risk
U001,200714710,SYSCO  us,2019-06-24 00:00:00,2019.0,1929462621.0,2019-06-10,20190609,20190610,20190625.0,USD,RV,1.0,,3285.62,20190610.0,NAA8,1929462621.0,0,2019-06-25,2019-06-24,2019-06-10,3285.62,15,6,2,6,1,0.4721861471861471,2.576515151515151,5.0,0,2,0.5174617480982076,1,0,Medium Risk
CA02,0140106181,THE  corp,2019-09-18 00:00:00,2019.0,2960562705.0,2019-07-08,20190708,20190708,20190719.0,CAD,RV,1.0,,6912.0,20190709.0,CA10,2960562705.0,0,2019-07-19,2019-09-18,2019-07-08,6912.0,11,7,3,7,4,0.943307791764588,71.82804778693205,38.0,2,6,0.9962281360392596,1,0,High Risk
U001,0100028450,DASA I ,2019-05-23 00:00:00,2019.0,1929251852.0,2019-05-06,20190506,20190506,20190516.0,USD,RV,1.0,,24351.25,20190506.0,NA10,1929251852.0,0,2019-05-16,2019-05-23,2019-05-06,24351.25,10,5,2,5,3,0.9,3.9402777777777778,4.5,0,15,0.8397574603328513,1,0,High Risk
U001,200561861,CO in,2019-06-21 00:00:00,2019.0,1929446470.0,2019-06-06,20190606,20190606,20190621.0,USD,RV,1.0,,22491.08,20190606.0,NAA8,1929446470.0,0,2019-06-21,2019-06-21,2019-06-06,22491.08,15,6,2,6,4,0.0,0.0,1.5,0,2,0.2685952729208697,0,0,Low Risk
U001,0200622385,US  co,2019-05-10 00:00:00,2019.0,1929213250.0,2019-04-26,20190426,20190426,20190511.0,USD,RV,1.0,,981.31,20190426.0,NAA8,1929213250.0,0,2019-05-11,2019-05-10,2019-04-26,981.31,15,4,2,5,5,0.8108344224765793,2.837615099134707,8.5,0,2,0.8607298510089153,1,0,High Risk
U001,0200769623,WAL-MAR foundation,2020-01-24 00:00:00,2020.0,1930395090.0,2020-01-14,20200113,20200114,20200129.0,USD,RV,1.0,,71008.69,20200114.0,NAH4,1930395090.0,0,2020-01-29,2020-01-24,2020-01-14,71008.69,15,1,1,1,2,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2541032597270022,0,0,Low Risk
U001,0200744019,TARG in,2019-02-26 00:00:00,2019.0,1928711753.0,2019-02-01,20190130,20190201,20190216.0,USD,RV,1.0,,8445.33,20190201.0,NAA8,1928711753.0,0,2019-02-16,2019-02-26,2019-02-01,8445.33,15,2,1,2,5,0.7367411018545494,4.087887182035333,311.0,0,2,0.8355440063475057,1,0,High Risk
U001,0200752302,KROGER foundation,2019-09-03 00:00:00,2019.0,1929760273.0,2019-08-19,20190819,20190819,20190903.0,USD,RV,1.0,,79935.8,20190819.0,NAA8,1929760273.0,0,2019-09-03,2019-09-03,2019-08-19,79935.8,15,8,3,9,1,0.3426108650519773,2.663890650865268,54.0,0,2,0.4076020315580149,0,0,Low Risk
CA02,140105785,SHOPPE foundation,,2020.0,2960624627.0,2020-03-27,20200327,20200327,20200410.0,CAD,RV,1.0,,2829.6,20200331.0,CA10,2960624627.0,1,2020-04-10,,2020-03-27,2829.6,14,3,1,4,4,0.8333333333333334,13.041666666666666,2.5,2,6,0.9186824889166456,1,91,High Risk
U001,0200769623,WAL-MAR in,2019-02-11 00:00:00,2019.0,1928657817.0,2019-01-24,20190121,20190124,20190208.0,USD,RV,1.0,,13636.19,20190124.0,NAH4,1928657817.0,0,2019-02-08,2019-02-11,2019-01-24,13636.19,15,1,1,2,4,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3326902148884692,0,0,Low Risk
U001,0200769623,WAL-MAR llc,2019-04-08 00:00:00,2019.0,1929027308.0,2019-03-27,20190325,20190327,20190411.0,USD,RV,1.0,,71047.42,20190327.0,NAH4,1929027308.0,0,2019-04-11,2019-04-08,2019-03-27,71047.42,15,3,1,4,3,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2918888824398868,0,0,Low Risk
U001,200769623,WAL-MAR corporation,2019-06-25 00:00:00,2019.0,1929485994.0,2019-06-13,20190613,20190613,20190628.0,USD,RV,1.0,,3748.84,20190613.0,NAH4,1929485994.0,0,2019-06-28,2019-06-25,2019-06-13,3748.84,15,6,2,6,4,0.1248822496281246,0.8106467549612942,308.0,0,0,0.3613258114029092,0,0,Low Risk
U001,0200772670,ASSOCIAT co,2019-03-06 00:00:00,2019.0,1928831527.0,2019-02-20,20190221,20190220,20190307.0,USD,RV,1.0,,74898.29,20190220.0,NAU5,1928831527.0,0,2019-03-07,2019-03-06,2019-02-20,74898.29,15,2,1,3,3,0.6481724652442218,2.156662329806585,292.5,0,5,0.6993881106278892,1,0,Medium Risk
U001,0200769623,WAL-MAR foundation,2019-11-20 00:00:00,2019.0,1930133339.0,2019-11-10,20191109,20191110,20191125.0,USD,RV,1.0,,6300.98,20191110.0,NAH4,1930133339.0,0,2019-11-25,2019-11-20,2019-11-10,6300.98,15,11,4,11,0,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.1991271037990372,0,0,Low Risk
U001,0200769623,WAL-MAR ,,2020.0,1930577078.0,2020-02-28,20200227,20200228,20200314.0,USD,RV,1.0,,14514.68,20200228.0,NAH4,1930577078.0,1,2020-03-14,,2020-02-28,14514.68,15,2,1,3,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.373910960406851,0,118,Low Risk
